selection;crossover;mutation;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;threeFlip;highFitnessFirst;10;90

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.04;0.11233333333333333;0.15;0.024722908854384877;0.11;0.09;0.13;0.13;0.13;0.09;0.13;0.12;0.15;0.09;0.12;0.12;0.08;0.12;0.15;0.12;0.15;0.13;0.09;0.09;0.12;0.11;0.1;0.15;0.12;0.1;0.08;0.04;0.09;0.12
10;0.12;0.19533333333333333;0.28;0.03363860216411431;0.2;0.17;0.19;0.22;0.24;0.16;0.23;0.16;0.22;0.15;0.23;0.19;0.19;0.18;0.21;0.23;0.18;0.19;0.17;0.17;0.22;0.17;0.18;0.28;0.23;0.17;0.19;0.12;0.17;0.25
15;0.16;0.263;0.34;0.040755367744629664;0.25;0.25;0.23;0.3;0.28;0.23;0.34;0.19;0.32;0.26;0.33;0.26;0.23;0.29;0.24;0.3;0.22;0.28;0.24;0.24;0.28;0.23;0.29;0.33;0.27;0.24;0.24;0.16;0.27;0.3
20;0.23;0.318;0.44;0.049017003852404796;0.32;0.31;0.23;0.34;0.39;0.31;0.39;0.26;0.39;0.32;0.44;0.31;0.28;0.3;0.3;0.39;0.25;0.33;0.28;0.3;0.33;0.27;0.34;0.36;0.31;0.27;0.33;0.23;0.31;0.35
25;0.27;0.354;0.45;0.05010655313096947;0.45;0.33;0.31;0.4;0.39;0.4;0.42;0.33;0.39;0.33;0.42;0.36;0.32;0.37;0.27;0.4;0.29;0.32;0.3;0.33;0.39;0.3;0.37;0.37;0.4;0.27;0.4;0.28;0.3;0.41
30;0.28;0.37633333333333335;0.46;0.05294546460483865;0.46;0.34;0.32;0.46;0.37;0.45;0.43;0.32;0.43;0.32;0.43;0.39;0.34;0.39;0.3;0.43;0.28;0.41;0.33;0.37;0.41;0.33;0.39;0.36;0.41;0.32;0.4;0.33;0.31;0.46
35;0.29;0.4086666666666667;0.52;0.05283517346953217;0.46;0.39;0.34;0.47;0.44;0.47;0.49;0.36;0.52;0.29;0.44;0.42;0.36;0.4;0.32;0.42;0.34;0.42;0.35;0.42;0.45;0.42;0.42;0.39;0.43;0.36;0.42;0.45;0.35;0.45
40;0.32;0.429;0.54;0.04968903299521937;0.46;0.42;0.4;0.44;0.45;0.49;0.49;0.41;0.54;0.36;0.44;0.47;0.33;0.4;0.37;0.44;0.37;0.44;0.4;0.47;0.46;0.46;0.38;0.43;0.41;0.4;0.5;0.47;0.32;0.45
45;0.36;0.44633333333333336;0.55;0.045349261907505795;0.46;0.43;0.39;0.46;0.46;0.5;0.51;0.36;0.55;0.39;0.47;0.46;0.39;0.43;0.41;0.43;0.44;0.46;0.38;0.44;0.51;0.46;0.41;0.45;0.44;0.42;0.55;0.45;0.41;0.47
50;0.38;0.46366666666666667;0.55;0.04159193297851026;0.47;0.47;0.42;0.44;0.48;0.5;0.5;0.38;0.5;0.46;0.51;0.53;0.44;0.43;0.43;0.45;0.45;0.49;0.4;0.47;0.54;0.51;0.39;0.45;0.43;0.43;0.55;0.47;0.47;0.45
55;0.4;0.474;0.54;0.03808761828556187;0.48;0.47;0.45;0.48;0.47;0.47;0.53;0.42;0.53;0.49;0.52;0.49;0.45;0.43;0.44;0.43;0.48;0.52;0.4;0.49;0.49;0.54;0.4;0.49;0.43;0.47;0.54;0.49;0.48;0.45
60;0.42;0.49133333333333334;0.64;0.04295216978091898;0.46;0.51;0.42;0.47;0.49;0.46;0.64;0.47;0.56;0.49;0.54;0.49;0.46;0.46;0.46;0.48;0.49;0.54;0.44;0.49;0.51;0.51;0.43;0.49;0.47;0.5;0.53;0.5;0.53;0.45
65;0.4;0.49;0.66;0.05221749387577566;0.46;0.54;0.43;0.47;0.49;0.49;0.66;0.4;0.56;0.49;0.54;0.53;0.43;0.47;0.48;0.43;0.49;0.53;0.41;0.51;0.51;0.45;0.43;0.49;0.48;0.49;0.53;0.52;0.54;0.45
70;0.39;0.497;0.57;0.04180510335672747;0.46;0.51;0.51;0.49;0.53;0.49;0.57;0.41;0.53;0.49;0.54;0.47;0.52;0.5;0.5;0.45;0.53;0.51;0.39;0.53;0.51;0.46;0.43;0.49;0.49;0.52;0.53;0.57;0.53;0.45
