selection;crossover;mutation;insertion;crossover_proba;mutation_proba
bestFirst;crossAtHalf;fiveFlip;bestOfAFourth;10;90

generation;min;mean;max;stddev;6736127;5752849;3078582;2294017;4002010;5623518;1663723;3734168;2321195;5182856;4163942;9788520;9976031;331173;4657512;4251362;4758679;9622590;8271010;2103984;9478558;4766729;1828657;6269066;5963056;9312379;1099372;4937990;2947007;2083860
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.08;0.17433333333333334;0.23;0.03441737287411048;0.19;0.17;0.16;0.16;0.18;0.23;0.19;0.2;0.18;0.21;0.23;0.21;0.18;0.19;0.16;0.23;0.14;0.19;0.15;0.15;0.18;0.19;0.16;0.19;0.19;0.12;0.13;0.08;0.11;0.18
10;0.15;0.2846666666666667;0.4;0.05457309064202084;0.25;0.31;0.23;0.29;0.31;0.35;0.27;0.39;0.32;0.32;0.3;0.27;0.24;0.36;0.28;0.3;0.2;0.3;0.25;0.31;0.27;0.4;0.28;0.29;0.29;0.28;0.2;0.2;0.15;0.33
15;0.19;0.3556666666666667;0.5;0.061029136939297735;0.29;0.38;0.29;0.35;0.36;0.42;0.35;0.44;0.37;0.34;0.35;0.4;0.31;0.42;0.4;0.4;0.31;0.41;0.29;0.36;0.34;0.5;0.34;0.35;0.42;0.38;0.29;0.25;0.19;0.37
20;0.24;0.39366666666666666;0.51;0.061507903737830494;0.35;0.39;0.32;0.4;0.39;0.47;0.34;0.45;0.44;0.39;0.4;0.44;0.31;0.42;0.41;0.42;0.31;0.51;0.34;0.4;0.41;0.48;0.39;0.43;0.41;0.48;0.32;0.3;0.24;0.45
25;0.27;0.43833333333333335;0.56;0.06623610965494744;0.35;0.38;0.39;0.42;0.41;0.54;0.39;0.49;0.56;0.47;0.47;0.44;0.34;0.45;0.47;0.44;0.34;0.5;0.39;0.5;0.43;0.5;0.45;0.55;0.45;0.51;0.39;0.4;0.27;0.46
30;0.28;0.45;0.57;0.06623191577077223;0.38;0.43;0.35;0.45;0.46;0.57;0.41;0.44;0.51;0.55;0.5;0.41;0.35;0.45;0.5;0.53;0.39;0.49;0.37;0.48;0.54;0.48;0.47;0.54;0.43;0.46;0.43;0.39;0.28;0.46
35;0.33;0.46166666666666667;0.56;0.05657345274557277;0.37;0.5;0.39;0.49;0.48;0.54;0.44;0.47;0.53;0.56;0.5;0.41;0.37;0.4;0.48;0.52;0.42;0.44;0.48;0.49;0.52;0.49;0.49;0.53;0.49;0.4;0.46;0.4;0.33;0.46
40;0.38;0.477;0.62;0.05550675634551167;0.42;0.49;0.42;0.49;0.51;0.58;0.46;0.47;0.56;0.62;0.53;0.41;0.38;0.47;0.53;0.51;0.41;0.49;0.46;0.43;0.5;0.46;0.51;0.54;0.48;0.44;0.46;0.45;0.38;0.45
45;0.41;0.4816666666666667;0.59;0.04305681001756736;0.43;0.48;0.46;0.5;0.5;0.58;0.49;0.47;0.51;0.59;0.52;0.41;0.43;0.49;0.49;0.5;0.46;0.49;0.47;0.44;0.43;0.46;0.52;0.55;0.49;0.52;0.45;0.43;0.44;0.45
50;0.4;0.489;0.59;0.04606878914550862;0.47;0.45;0.48;0.57;0.48;0.57;0.52;0.5;0.53;0.59;0.54;0.45;0.44;0.48;0.53;0.5;0.42;0.44;0.47;0.44;0.5;0.47;0.52;0.54;0.49;0.5;0.4;0.43;0.5;0.45
55;0.42;0.49933333333333335;0.58;0.04154783053568769;0.53;0.44;0.51;0.5;0.49;0.55;0.47;0.47;0.58;0.58;0.49;0.5;0.43;0.48;0.54;0.53;0.45;0.42;0.5;0.49;0.54;0.52;0.53;0.55;0.46;0.53;0.45;0.49;0.51;0.45
60;0.43;0.498;0.6;0.04182503237695499;0.51;0.44;0.49;0.45;0.6;0.5;0.45;0.47;0.55;0.58;0.49;0.46;0.43;0.44;0.55;0.49;0.44;0.49;0.5;0.54;0.54;0.5;0.51;0.55;0.5;0.47;0.48;0.5;0.5;0.52
65;0.39;0.4966666666666667;0.65;0.04941884480865799;0.51;0.46;0.54;0.49;0.65;0.48;0.43;0.49;0.53;0.53;0.4;0.48;0.39;0.5;0.52;0.54;0.44;0.47;0.51;0.51;0.5;0.46;0.55;0.51;0.46;0.54;0.45;0.51;0.53;0.52
70;0.41;0.5033333333333333;0.58;0.04229525846816508;0.51;0.51;0.51;0.46;0.58;0.48;0.45;0.55;0.49;0.53;0.42;0.41;0.47;0.53;0.55;0.53;0.52;0.57;0.49;0.56;0.5;0.45;0.53;0.51;0.47;0.52;0.45;0.55;0.48;0.52
